"115年01月20日 至 115年01月20日 除權除息計算結果表"
"資料日期","股票代號","股票名稱","除權息前收盤價","除權息參考價","權值+息值","權/息","漲停價格","跌停價格","開盤競價基準","減除股利參考價","詳細資料","最近一次申報資料 季別/日期","最近一次申報每股 (單位)淨值","最近一次申報每股 (單位)盈餘",
"115年01月20日",="00701","國泰股利精選30","29.96","29.26","0.700000","息","32.18","26.34","29.26","29.26","除權息資料","115年01月19日","30.10","N/A",
"115年01月20日",="00702","國泰標普低波高息","23.98","23.33","0.650000","息","9,999.95","0.01","23.33","23.33","除權息資料","","","",
"115年01月20日",="00714","群益道瓊美國地產","20.79","20.66","0.123000","息","9,999.95","0.01","20.66","20.66","除權息資料","","","",
"115年01月20日",="00717","富邦美國特別股","15.43","15.28","0.141000","息","9,999.95","0.01","15.28","15.28","除權息資料","","","",
"115年01月20日",="00730","富邦臺灣優質高息","23.83","23.72","0.110000","息","26.09","21.35","23.72","23.72","除權息資料","115年01月20日","23.85","N/A",
"115年01月20日",="00735","國泰臺韓科技","60.30","59.30","1.000000","息","9,999.95","0.01","59.30","59.30","除權息資料","","","",
"115年01月20日",="00736","國泰新興市場","29.21","28.91","0.300000","息","9,999.95","0.01","28.91","28.91","除權息資料","","","",
"115年01月20日",="00770","國泰北美科技","57.95","53.75","4.200000","息","9,999.95","0.01","53.75","53.75","除權息資料","","","",
"115年01月20日",="00830","國泰費城半導體","64.90","55.90","9.000000","息","9,999.95","0.01","55.90","55.90","除權息資料","","","",
"115年01月20日",="00881","國泰台灣科技龍頭","35.87","33.22","2.650000","息","36.54","29.90","33.22","33.22","除權息資料","115年01月20日","33.37","N/A",
"115年01月20日",="00900","富邦特選高股息30","14.59","14.51","0.075000","息","15.96","13.06","14.51","14.51","除權息資料","115年01月20日","14.53","N/A",
"115年01月20日",="00908","富邦入息REITs+","14.29","14.16","0.121000","息","9,999.95","0.01","14.16","14.16","除權息資料","","","",
"115年01月20日",="00929","復華台灣科技優息","19.64","19.54","0.100000","息","21.49","17.59","19.54","19.54","除權息資料","115年01月19日","19.79","N/A",
"115年01月20日",="00930","永豐ESG低碳高息","18.26","18.11","0.141000","息","19.92","16.30","18.11","18.11","除權息資料","115年01月20日","18.24","N/A",
"115年01月20日",="00945B","凱基美國非投等債","14.63","14.54","0.088000","息","9,999.95","0.01","14.54","14.54","除權息資料","","","",
"115年01月20日",="00981T","平衡凱基雙核收息","11.03","10.97","0.054000","息","9,999.95","0.01","10.97","10.97","除權息資料","","","",
"115年01月20日",="00982D","主動富邦動態入息","10.17","10.11","0.052000","息","9,999.95","0.01","10.11","10.11","除權息資料","","","",
"115年01月20日",="00983D","主動富邦複合收益","10.31","10.25","0.060000","息","9,999.95","0.01","10.25","10.25","除權息資料","","","",
"公式:"
"除權息參考價 = (除權息前收盤價-息值+現金增資認購價*現金增資配股率)/(1+無償配股率+現金增資配股率)",
"減除股利參考價 = (除權息前收盤價-息值)/(1+無償配股率)",

"備註:"
"股利資料自民國92年5月5日起開始提供",
"如果無該項配股率則用'0'帶入",
"開盤競價基準：當不含現金增資除權時，取最接近除權息參考價之檔位價，遇含現金增資除權時，則取最接近減除股利參考價之檔位價。",
"權值+息值=除權息前收盤價-除權息參考價",
"自民國100年3月28日起，除權息前一交易日如無收盤價格，以本公司營業細則第58-3條第2項第2款之原則所決定價格替代。",
"本表不含除息併案辦理退還股款減資或分割減資之資料。",
"本表所列股票、臺灣存託憑證、ETF、受益證券等財報資料，係發行公司最近一次申報資料，僅供參考，實際資料仍以公開資訊觀測發行公司公告資料為準，網址為：點擊前往公開資訊觀測站 。ETF、受益證券無每股 (單位)盈餘，以「N/A」表示；特別股同普通股最新申報資料。",

